2020-12-16 05:35:34 upgrade libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status triggers-pending libc-bin:arm64 2.30-0ubuntu2.2
2020-12-16 05:35:34 status half-configured libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status unpacked libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status half-installed libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status unpacked libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 configure libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 1.7-2+deb10 1.7-2+deb10
2020-12-16 05:35:34 status half-configured libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 1.7-2+deb10
2020-12-16 05:35:34 status installed libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 1.7-2+deb10
2020-12-16 05:35:34 configure libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status half-configured libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 status installed libsdl2-2.0-0:arm64 2.0.10+dfsg1-1ubuntu1
2020-12-16 05:35:34 trigproc libc-bin:arm64 2.30-0ubuntu2.2 <none>
2020-12-16 05:35:34 status half-configured libc-bin:arm64 2.30-0ubuntu2.2
2020-12-16 05:35:35 status installed libc-bin:arm64 2.30-0ubuntu2.2
2020-12-19 01:37:10 startup archives install
2020-12-19 01:37:12 install linux-image-4.4.189-139502-g380eeff98d35:arm64 <none> 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:37:12 status half-installed linux-image-4.4.189-139502-g380eeff98d35:arm64 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:37:24 status unpacked linux-image-4.4.189-139502-g380eeff98d35:arm64 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:37:24 configure linux-image-4.4.189-139502-g380eeff98d35:arm64 4.4.189-139502-g380eeff98d35-4 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:37:24 status half-configured linux-image-4.4.189-139502-g380eeff98d35:arm64 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:37:39 status installed linux-image-4.4.189-139502-g380eeff98d35:arm64 4.4.189-139502-g380eeff98d35-4
2020-12-19 01:43:28 startup archives unpack
2020-12-19 01:43:29 install libportaudio2:arm64 <none> 19.6.0-1
2020-12-19 01:43:29 status triggers-pending libc-bin:arm64 2.30-0ubuntu2.2
2020-12-19 01:43:29 status half-installed libportaudio2:arm64 19.6.0-1
2020-12-19 01:43:30 status unpacked libportaudio2:arm64 19.6.0-1
2020-12-19 01:43:30 install libsonic0:arm64 <none> 0.2.0-7
2020-12-19 01:43:30 status half-installed libsonic0:arm64 0.2.0-7
2020-12-19 01:43:30 status unpacked libsonic0:arm64 0.2.0-7
2020-12-19 01:43:30 install espeak-data:arm64 <none> 1.48.04+dfsg-7build1
2020-12-19 01:43:30 status half-installed espeak-data:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status unpacked espeak-data:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 install libespeak1:arm64 <none> 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status half-installed libespeak1:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status unpacked libespeak1:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 install espeak:arm64 <none> 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status half-installed espeak:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status unpacked espeak:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 startup packages configure
2020-12-19 01:43:32 configure libportaudio2:arm64 19.6.0-1 <none>
2020-12-19 01:43:32 status unpacked libportaudio2:arm64 19.6.0-1
2020-12-19 01:43:32 status half-configured libportaudio2:arm64 19.6.0-1
2020-12-19 01:43:32 status installed libportaudio2:arm64 19.6.0-1
2020-12-19 01:43:32 configure libsonic0:arm64 0.2.0-7 <none>
2020-12-19 01:43:32 status unpacked libsonic0:arm64 0.2.0-7
2020-12-19 01:43:32 status half-configured libsonic0:arm64 0.2.0-7
2020-12-19 01:43:32 status installed libsonic0:arm64 0.2.0-7
2020-12-19 01:43:32 configure espeak-data:arm64 1.48.04+dfsg-7build1 <none>
2020-12-19 01:43:32 status unpacked espeak-data:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status half-configured espeak-data:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status installed espeak-data:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 configure libespeak1:arm64 1.48.04+dfsg-7build1 <none>
2020-12-19 01:43:32 status unpacked libespeak1:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status half-configured libespeak1:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status installed libespeak1:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 configure espeak:arm64 1.48.04+dfsg-7build1 <none>
2020-12-19 01:43:32 status unpacked espeak:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status half-configured espeak:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 status installed espeak:arm64 1.48.04+dfsg-7build1
2020-12-19 01:43:32 trigproc libc-bin:arm64 2.30-0ubuntu2.2 <none>
2020-12-19 01:43:32 status half-configured libc-bin:arm64 2.30-0ubuntu2.2
2020-12-19 01:43:33 status installed libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 17:56:50 startup archives install
2021-02-20 17:57:39 install libsdl2-gfx-1.0-0:armhf <none> 1.0.4+dfsg-3
2021-02-20 17:57:39 status triggers-pending libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 17:57:40 status half-installed libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 17:57:46 status unpacked libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 17:57:48 configure libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3 1.0.4+dfsg-3
2021-02-20 17:57:49 status half-configured libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 17:57:49 status installed libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 17:57:50 trigproc libc-bin:arm64 2.30-0ubuntu2.2 <none>
2021-02-20 17:57:50 status half-configured libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 17:57:59 status installed libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 18:03:14 startup archives install
2021-02-20 18:03:17 upgrade libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3 1.0.4+dfsg-3
2021-02-20 18:03:17 status triggers-pending libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 18:03:18 status half-configured libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:19 status unpacked libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:20 status half-installed libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:40 status unpacked libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:42 configure libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3 1.0.4+dfsg-3
2021-02-20 18:03:43 status half-configured libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:44 status installed libsdl2-gfx-1.0-0:armhf 1.0.4+dfsg-3
2021-02-20 18:03:44 trigproc libc-bin:arm64 2.30-0ubuntu2.2 <none>
2021-02-20 18:03:44 status half-configured libc-bin:arm64 2.30-0ubuntu2.2
2021-02-20 18:03:53 status installed libc-bin:arm64 2.30-0ubuntu2.2
2021-04-30 20:53:12 startup archives unpack
2021-04-30 20:53:13 install brightness-udev:all <none> 0.4-2
2021-04-30 20:53:13 status half-installed brightness-udev:all 0.4-2
2021-04-30 20:53:13 status unpacked brightness-udev:all 0.4-2
2021-04-30 20:53:13 install brightnessctl:arm64 <none> 0.4-2
2021-04-30 20:53:13 status half-installed brightnessctl:arm64 0.4-2
2021-04-30 20:53:13 status unpacked brightnessctl:arm64 0.4-2
